format_id,width,height,format_ratio,format_note,persona_id,persona_name,persona_angle,locale_id,currency,price,cta,locale_notice,business_name,product,headline_max_chars,long_headline_max_chars,description_max_chars,business_name_max_chars,figma_frame_name,export_file_name
1200x628,1200,628,1.91:1,Landscape,tech_commuter,Tech Commuter,"Laptop-safe, TSA-friendly, sleek",es-MX,MXN,"$2,190",Compra ahora,Envío gratis en México,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/1200x628/TechCommuter/es-MX,1200x628_tech_commuter_es-MX.png
1200x628,1200,628,1.91:1,Landscape,tech_commuter,Tech Commuter,"Laptop-safe, TSA-friendly, sleek",fr-FR,EUR,129 €,Acheter,Livraison gratuite en France,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/1200x628/TechCommuter/fr-FR,1200x628_tech_commuter_fr-FR.png
1200x628,1200,628,1.91:1,Landscape,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",en-US,USD,$129,Shop now,Ships free in the U.S.,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/1200x628/TrailRunner/en-US,1200x628_trail_runner_en-US.png
1200x628,1200,628,1.91:1,Landscape,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",es-MX,MXN,"$2,190",Compra ahora,Envío gratis en México,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/1200x628/TrailRunner/es-MX,1200x628_trail_runner_es-MX.png
1200x628,1200,628,1.91:1,Landscape,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",fr-FR,EUR,129 €,Acheter,Livraison gratuite en France,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/1200x628/TrailRunner/fr-FR,1200x628_trail_runner_fr-FR.png
960x1200,960,1200,4:5,Vertical,budget_explorer,Budget Explorer,"Durable value, student-friendly",en-US,USD,$129,Shop now,Ships free in the U.S.,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/BudgetExplorer/en-US,960x1200_budget_explorer_en-US.png
960x1200,960,1200,4:5,Vertical,budget_explorer,Budget Explorer,"Durable value, student-friendly",es-MX,MXN,"$2,190",Compra ahora,Envío gratis en México,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/BudgetExplorer/es-MX,960x1200_budget_explorer_es-MX.png
960x1200,960,1200,4:5,Vertical,budget_explorer,Budget Explorer,"Durable value, student-friendly",fr-FR,EUR,129 €,Acheter,Livraison gratuite en France,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/BudgetExplorer/fr-FR,960x1200_budget_explorer_fr-FR.png
960x1200,960,1200,4:5,Vertical,tech_commuter,Tech Commuter,"Laptop-safe, TSA-friendly, sleek",en-US,USD,$129,Shop now,Ships free in the U.S.,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TechCommuter/en-US,960x1200_tech_commuter_en-US.png
960x1200,960,1200,4:5,Vertical,tech_commuter,Tech Commuter,"Laptop-safe, TSA-friendly, sleek",es-MX,MXN,"$2,190",Compra ahora,Envío gratis en México,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TechCommuter/es-MX,960x1200_tech_commuter_es-MX.png
960x1200,960,1200,4:5,Vertical,tech_commuter,Tech Commuter,"Laptop-safe, TSA-friendly, sleek",fr-FR,EUR,129 €,Acheter,Livraison gratuite en France,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TechCommuter/fr-FR,960x1200_tech_commuter_fr-FR.png
960x1200,960,1200,4:5,Vertical,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",en-US,USD,$129,Shop now,Ships free in the U.S.,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TrailRunner/en-US,960x1200_trail_runner_en-US.png
960x1200,960,1200,4:5,Vertical,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",es-MX,MXN,"$2,190",Compra ahora,Envío gratis en México,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TrailRunner/es-MX,960x1200_trail_runner_es-MX.png
960x1200,960,1200,4:5,Vertical,trail_runner,Trail Runner,"Lightweight, bounce-free, breathable",fr-FR,EUR,129 €,Acheter,Livraison gratuite en France,PeakPack,PeakPack Pro 30L,30,90,90,25,Ad/960x1200/TrailRunner/fr-FR,960x1200_trail_runner_fr-FR.png
